PlateIFU,z,log(M*)
8080-12705,0.0282305,10.067598375393882
8080-1902,0.0383731,9.275723988588744
8080-3703,0.0290228,9.698173363017538
8080-6101,0.026421,9.84165821173593
8080-6104,0.0366757,10.771554486504568
8081-12702,0.0358869,9.539997298840532
8081-1902,0.0369601,9.64885964511483
8081-3704,0.0538098,10.159799144558258
8081-6101,0.0403649,9.92178199596535
8081-6103,0.0380462,9.795248501945947
8082-12701,0.0268005,10.406838991782728
8082-6103,0.0238831,10.005005316050598
8083-12704,0.0228308,10.556826587618882
8084-12701,0.0377513,9.728881936574538
8084-3704,0.0372126,9.67009810873458
8084-6102,0.0408452,9.68862137562487
8084-9102,0.025903,9.9801889476925
8085-12702,0.0216533,9.737476625244055
8085-12705,0.0402513,9.752341695616197
8086-12701,0.0402935,9.815044819180592
8086-1902,0.0150101,9.126577981241445
8086-3702,0.0254747,9.961270927269766
8086-6102,0.0404618,9.791093156670133
8131-6101,0.0518716,10.378853798723446
8131-9101,0.0500247,10.181051596616383
8132-12703,0.116056,11.041912077496233
8133-1901,0.0791705,9.816372536010222
8134-12701,0.0212,9.612385913459201
8134-12702,0.0321263,10.80373852710348
8134-12703,0.0209707,9.727403474561719
8134-12704,0.0810436,10.999695887410839
8134-12705,0.0178659,9.449034227357155
8134-1901,0.0766511,10.830663285569202
8134-6103,0.0363473,10.045184819388256
8135-12702,0.0526712,10.53161705598015
8135-12703,0.0509857,10.393722002400038
8135-3702,0.041487,9.694218270867077
8135-3704,0.0305262,9.674321145975124
8135-6101,0.0108501,9.01822821965831
8135-9102,0.0459092,10.184659568642429
8137-12702,0.049903,10.396245618118673
8137-12703,0.0382869,10.60839284756243
8137-12704,0.0459625,10.044621344928757
8138-12701,0.0447728,10.05694605526711
8138-12704,0.030805,11.130922276830441
8138-3701,0.0495306,10.34760478569689
8138-6104,0.0382298,9.605071858441024
8138-9101,0.0532025,10.822206787195409
8139-12705,0.027149,10.350849030495791
8139-1901,0.0549061,10.534264464624245
8139-1902,0.0406385,9.779443346671396
8139-3702,0.0130524,9.018664840841033
8139-6101,0.027711,10.466631608827525
8139-9101,0.0191816,9.342035752755715
8140-12703,0.0320322,10.779166371261212
8140-12704,0.0240546,9.710117365111817
8140-12705,0.0434195,9.824524293619621
8140-1902,0.0407325,9.818114079574876
8140-3701,0.0389148,10.42301168979422
8140-6102,0.0403941,9.609860004808196
8141-12704,0.0482183,10.397904554614145
8141-9102,0.0504328,10.30850735462871
8143-6102,0.0410599,9.696178019056969
8143-9102,0.0441288,10.201329669932816
8144-12701,0.0267264,9.857503570819294
8144-12703,0.0389089,11.000941132659015
8144-3701,0.039258,10.686550547186268
8144-3703,0.0157144,9.127995491084748
8144-6101,0.0222516,10.218428855642253
8145-12703,0.0228708,9.357615967451784
8145-12704,0.0234717,9.949819010283154
8145-3701,0.0155801,9.420753709712406
8145-6103,0.0236372,9.86061542631372
8145-6104,0.0397552,9.722967840983374
8145-9102,0.0153684,9.24696911798248
8146-12702,0.0625398,10.998596470073684
8146-6103,0.0229121,9.099670072833575
8146-9101,0.023918,9.563967559741005
8147-12701,0.0235924,9.783102533269483
8147-12703,0.0266183,10.341959132360268
8147-3702,0.0160071,9.387596826058076
8147-3703,0.0220924,9.483299039711959
8147-6101,0.0152632,9.33065392322756
8147-6103,0.0616143,10.901046662554997
8147-9102,0.0152357,9.097465554474155
8149-3704,0.0173447,10.30408807028677
8149-6101,0.0398786,9.802568498313956
8149-6103,0.0221393,8.939515177586769
8149-9101,0.0230125,9.4673755176718
8150-12701,0.0219939,9.385212176945222
8150-1902,0.0215251,9.926546125352314
8150-3702,0.00465323,9.175888540992899
8150-3703,0.0966813,10.236980706755768
8150-6101,0.0270483,10.202340387313392
8153-12701,0.0392336,9.748551896873716
8153-1901,0.0226083,9.777549616659611
8154-12701,0.0314652,10.547420537068412
8154-6102,0.0290403,9.956509488682293
8154-6104,0.0425041,9.976008234153783
8154-9102,0.0275917,10.419335221705175
8155-12703,0.036931,9.455820265565038
8155-1902,0.0234125,9.47924027895617
8155-3701,0.0220465,9.326444546370393
8155-6102,0.0305763,10.384078983061238
8155-6104,0.0260017,10.028259934933294
8156-12702,0.0258558,9.39228769189886
8156-12703,0.0417053,9.654469261334288
8156-3701,0.0523909,10.169930418561375
8156-3703,0.0376103,9.710626740749092
8158-1901,0.0383575,9.520630558649742
8158-9101,0.0380313,9.561008846372856
8239-12703,0.0180264,8.840524715024515
8239-12704,0.0180813,9.508590176579789
8239-12705,0.0513668,10.376952919664125
8239-3702,0.0216787,9.05791438746647
8239-3704,0.02145,9.680403970784944
8239-6101,0.0210452,10.083052647619182
8239-9101,0.0278348,10.09534942474742
8241-12701,0.0213147,9.642149451126137
8241-1902,0.0382788,9.578243812932042
8241-3703,0.0288563,9.956674041659868
8241-3704,0.0658638,10.864472333307209
8241-6101,0.0208729,9.009427479793402
8243-12704,0.0239134,10.295081262177238
8243-12705,0.0455372,9.94466493283613
8243-9101,0.0432983,9.849885513350223
8244-12702,0.0454196,10.011197461478064
8244-9101,0.0583642,10.900575557822297
8247-12702,0.0436196,10.15140237436055
8247-12703,0.0533346,10.4434673508176
8247-12704,0.0494434,10.29764619040715
8247-9101,0.0415657,10.33333209993348
8249-12703,0.0269041,10.793743358987554
8249-12704,0.0269196,10.786363123623133
8249-6102,0.0510126,10.141111754193084
8250-12703,0.014213,8.600517281767345
8250-3703,0.040052,9.694438647162926
8250-6102,0.0247248,9.855195165111063
8252-12701,0.0249804,9.456886354056182
8252-12705,0.0255975,10.28621259584611
8252-3703,0.0243491,9.8845514721131
8252-6102,0.0257882,10.414758533845522
8252-9102,0.0561577,10.283386620477224
8253-3703,0.0272573,10.038981673485152
8254-12703,0.0500926,10.201483517529851
8254-12704,0.0486684,10.32489110780641
8254-1901,0.0192211,9.167033862542553
8254-3704,0.0359833,10.759891292786447
8254-9102,0.0374824,9.669290309274116
8255-12702,0.0245465,10.166436155486801
8255-3701,0.0373575,9.625864471821407
8255-3702,0.0212133,9.229734067537429
8255-9102,0.0368181,9.372836885010583
8256-6102,0.0381694,9.666325011306371
8257-3704,0.0202203,9.02557836350992
8257-6101,0.0294351,10.35706710214514
8257-6102,0.0217639,9.676445370417248
8258-3701,0.0246067,9.678319516465676
8258-3702,0.0249306,9.179089629714417
8258-3704,0.0584715,10.175902728426378
8258-6101,0.0213349,8.91203325312788
8259-12704,0.0235676,9.722783294682118
8259-6101,0.0309002,9.923339197190728
8259-6104,0.0435042,9.958832912105137
8259-9102,0.0616916,10.954224782772169
8261-1901,0.023141,9.560333701953116
8261-6102,0.0228629,10.282845368095339
8262-12703,0.040539,9.757130983052617
8262-1902,0.0379261,9.441945091150616
8262-3702,0.0242308,10.314679632772991
8262-6101,0.0239188,9.605076259368056
8262-9102,0.0245271,10.530850221086196
8263-12703,0.0234229,10.229166565128585
8263-12704,0.0382529,9.597130800554462
8263-12705,0.0479917,10.83982422647619
8263-1901,0.0245615,9.711207907520954
8263-3703,0.0390983,9.791365497337967
8263-6101,0.0244291,9.732461048917326
8309-3702,0.0696761,10.93915744457048
8309-3703,0.000507018,9.106159663417419
8309-6103,0.0406677,9.791404184525115
8311-12701,0.071825,10.820240342983658
8311-3702,0.0168598,9.13604916601098
8311-3703,0.0316772,10.923653138527568
8312-12701,0.0293829,10.662782878999492
8313-12701,0.0354683,10.586949945485456
8313-12702,0.0333433,10.518940772870826
8313-1901,0.0242508,9.308914008031097
8313-1902,0.0343878,9.536591935752368
8313-6103,0.0238109,9.999953909160322
8313-9101,0.0387147,10.767837112467992
8315-12705,0.0634711,10.66354132086536
8315-3701,0.0405057,10.01316495161914
8315-6101,0.0405526,9.836566944703002
8317-1902,0.0643402,7.8159583988760515
8317-6102,0.0578109,11.056371957900327
8317-9102,0.0242658,9.4029558385031
8318-12703,0.0392604,10.928424071283617
8318-12704,0.0245562,9.866928389166107
8318-12705,0.0291244,10.073048422797761
8318-6101,0.0523298,10.771027736910728
8318-9101,0.0282647,10.031284774741536
8318-9102,0.0264474,9.977653627393286
8319-12704,0.0288275,10.622357840292535
8319-3701,0.0268704,10.028165250084658
8319-6102,0.0359626,10.499880570376215
8319-9101,0.0706991,10.76743000699996
8320-12701,0.0419651,9.787382390787194
8320-12705,0.0273277,10.617141614777744
8320-6104,0.0300181,9.644289839892618
8320-9102,0.0523739,10.988503444879814
8322-12701,0.0202607,9.759509049622796
8322-12704,0.0186529,10.67695103122816
8322-3701,0.0491864,10.800561384246521
8322-6102,0.0603594,10.635518623561623
8322-6103,0.01857,9.797599605377261
8322-9101,0.018693,9.709252649785718
8322-9102,0.0453621,10.197191636125984
8323-12703,0.0251384,9.728277568787876
8323-12704,0.0381481,9.512967402230574
8325-12705,0.0393506,9.888004029970212
8325-3701,0.0407535,9.444892026040062
8326-12702,0.0271793,9.980171321370578
8326-12705,0.0358621,9.530251985041804
8326-9102,0.0717639,10.88360234344907
8329-12701,0.0350445,10.869289206646243
8329-3702,0.0403451,9.617426163064797
8329-6104,0.0269954,10.28301077102047
8330-12701,0.0529038,10.317713781576503
8330-12702,0.0649152,10.773198154094988
8330-12703,0.0269457,10.348014627009226
8330-1902,0.0200157,9.773790921297868
8330-6102,0.0489161,10.278807709461606
8330-9101,0.0348771,10.428111643386075
8331-1901,0.0435868,10.110903586056658
8331-6102,0.0751071,11.234972598405243
8332-12701,0.0283067,10.092621119692778
8332-1902,0.00814191,10.658305436886918
8332-3702,0.033305,10.376364636381664
8332-9101,0.0284426,10.329414484481891
8333-1902,0.0170371,9.211157605751604
8333-3701,0.068606,10.833307165790831
8335-12702,0.0188389,9.431977186129233
8335-12705,0.0253001,10.5277850440796
8335-3701,0.0247809,9.541347415733027
8335-6102,0.019232,9.614742298358948
8335-9102,0.0174864,9.295194014192607
8338-12701,0.0210523,9.804685904549228
8338-1901,0.0214836,9.149132986958714
8338-3702,0.0192906,9.524253016243172
8338-6102,0.0223574,9.489505045994976
8338-6104,0.0224455,9.296271093608441
8341-1902,0.0404746,9.858943337735248
8341-9101,0.0512136,10.444914299265285
8440-1902,0.0251859,9.647313097299426
8442-12702,0.0451402,10.104862518141077
8442-12703,0.01925,9.492672033501567
8442-12704,0.051749,10.412683354840864
